,subj,idx,session,pres,corr,corrw2v
37,soe143,1,-49,1,0.02327032973622834,0.020719659830415734
38,soe144,1,-49,1,0.04408342239708933,0.032171539426768904
39,soe145,1,-49,1,0.017876064888546848,0.02551165259783926
40,soe101,2,-49,2,0.12151450528397859,0.07513922158854841
41,soe103,2,-49,2,0.14272087423806185,0.08595379271657871
42,soe104,2,-49,2,0.13053376444724482,0.07029329373903599
43,soe105,2,-49,2,0.1226608858001036,0.0636981201886557
44,soe106,2,-49,2,0.1021884620704758,0.05342089776449208
45,soe108,2,-49,2,0.05580124426830703,0.026093116039989338
46,soe109,2,-49,2,0.09380822505165907,0.057324100501020714
47,soe110,2,-49,2,0.09445641164595321,0.058222392484951896
48,soe111,2,-49,2,0.11965345800885818,0.06551357251656244
49,soe112,2,-49,2,0.04456601983320465,0.025113341537807796
50,soe113,2,-49,2,0.05544801438302195,0.032308853768728316
51,soe114,2,-49,2,0.07824487876737268,0.05275455239318899
52,soe115,2,-49,2,0.0875043349333917,0.051842160823385885
53,soe116,2,-49,2,0.05815068828359229,0.04441265780341032
54,soe117,2,-49,2,0.0640910233830167,0.03322064892113396
55,soe118,2,-49,2,0.07706326840508222,0.042709126338704766
56,soe120,2,-49,2,0.0924581888486455,0.053097927721725724
57,soe121,2,-49,2,0.0890986172877695,0.047389629061266286
